multiplex	node	score
7	Pharmacologic Class_N0000175702	0.001813975045111516
7	Pharmacologic Class_N0000006496	0.001809572292548506
7	Pharmacologic Class_N0000007544	2.843869674392852e-05
7	Pharmacologic Class_N0000000183	2.8129462680810848e-05
7	Pharmacologic Class_N0000175729	2.6567015655348184e-05
7	Pharmacologic Class_N0000007542	1.6878034620783518e-05
7	Pharmacologic Class_N0000175817	1.517477408848642e-05
7	Pharmacologic Class_N0000000102	1.395251444810186e-05
7	Pharmacologic Class_N0000000154	1.2882488405027006e-05
7	Pharmacologic Class_N0000009918	1.2726493540038041e-05
7	Pharmacologic Class_N0000000109	7.4402054504187405e-06
7	Pharmacologic Class_N0000008486	5.583970696085899e-06
7	Pharmacologic Class_N0000175450	4.87029300527513e-06
7	Pharmacologic Class_N0000175651	4.616936219972414e-06
7	Pharmacologic Class_N0000000176	4.3324126153986314e-06
7	Pharmacologic Class_N0000009456	4.311909078777041e-06
7	Pharmacologic Class_N0000009282	4.311909078777041e-06
7	Pharmacologic Class_N0000000236	3.890425485217864e-06
7	Pharmacologic Class_N0000175076	3.2209990477923567e-06
7	Pharmacologic Class_N0000175684	3.161868355695988e-06
7	Pharmacologic Class_N0000175721	3.1024752080674922e-06
7	Pharmacologic Class_N0000000233	2.4757695823212047e-06
7	Pharmacologic Class_N0000000190	2.014174382793738e-06
7	Pharmacologic Class_N0000175372	1.954798700643881e-06
7	Pharmacologic Class_N0000175073	1.8528896162661736e-06
7	Pharmacologic Class_N0000185503	1.7415022074922594e-06
7	Pharmacologic Class_N0000007698	1.570988565155471e-06
7	Pharmacologic Class_N0000007780	1.5442666573393771e-06
7	Pharmacologic Class_N0000007883	1.4168179492076204e-06
7	Pharmacologic Class_N0000182141	1.3767625476317761e-06
7	Pharmacologic Class_N0000007530	1.282922508226484e-06
7	Pharmacologic Class_N0000175644	1.1297749016343066e-06
7	Pharmacologic Class_N0000007700	1.092996158878083e-06
7	Pharmacologic Class_N0000000194	1.0725016758938105e-06
7	Pharmacologic Class_N0000000174	1.0168751319497444e-06
7	Pharmacologic Class_N0000175459	9.776112137410394e-07
7	Pharmacologic Class_N0000175085	9.464120031948524e-07
7	Pharmacologic Class_N0000175761	9.270799804425501e-07
7	Pharmacologic Class_N0000185506	9.061560541196338e-07
7	Pharmacologic Class_N0000182140	8.810913101999266e-07
7	Pharmacologic Class_N0000011301	8.711451301898878e-07
7	Pharmacologic Class_N0000000104	8.647182504763279e-07
7	Pharmacologic Class_N0000008732	8.639836601461058e-07
7	Pharmacologic Class_N0000005760	8.41769912173763e-07
7	Pharmacologic Class_N0000175366	8.287295946597921e-07
7	Pharmacologic Class_N0000007606	8.190404775407321e-07
7	Pharmacologic Class_N0000000207	8.128206599142329e-07
7	Pharmacologic Class_N0000182137	7.828590344532529e-07
7	Pharmacologic Class_N0000000125	7.705471264269504e-07
7	Pharmacologic Class_N0000175755	7.246065772831522e-07
7	Pharmacologic Class_N0000175799	7.057670426007817e-07
7	Pharmacologic Class_N0000008054	6.907616944669171e-07
7	Pharmacologic Class_N0000175075	6.688574743937686e-07
7	Pharmacologic Class_N0000167094	6.669094876337296e-07
7	Pharmacologic Class_N0000175685	6.537950841323418e-07
7	Pharmacologic Class_N0000000069	6.533362676161955e-07
7	Pharmacologic Class_N0000008157	6.44571467338657e-07
7	Pharmacologic Class_N0000000168	6.41451277645816e-07
7	Pharmacologic Class_N0000020015	6.334405373152458e-07
7	Pharmacologic Class_N0000175975	6.322482857129929e-07
7	Pharmacologic Class_N0000007620	6.121881965408138e-07
7	Pharmacologic Class_N0000007522	6.027556642459694e-07
7	Pharmacologic Class_N0000008217	5.710915412054784e-07
7	Pharmacologic Class_N0000175730	5.594969131575209e-07
7	Pharmacologic Class_N0000190114	5.52675309066013e-07
7	Pharmacologic Class_N0000175764	5.524417872931448e-07
7	Pharmacologic Class_N0000175763	5.524417872931448e-07
7	Pharmacologic Class_N0000000100	5.474451701139518e-07
7	Pharmacologic Class_N0000009922	5.387106445172295e-07
7	Pharmacologic Class_N0000000111	5.329872628273691e-07
7	Pharmacologic Class_N0000008836	4.922748360970285e-07
7	Pharmacologic Class_N0000000151	4.5556360364467845e-07
7	Pharmacologic Class_N0000175359	4.5363801906735626e-07
7	Pharmacologic Class_N0000175628	4.403289819733533e-07
7	Pharmacologic Class_N0000007618	4.378205174207937e-07
7	Pharmacologic Class_N0000000070	4.2904467688605766e-07
7	Pharmacologic Class_N0000007707	4.063773166783252e-07
7	Pharmacologic Class_N0000175862	4.056366279981422e-07
7	Pharmacologic Class_N0000008048	3.922225563010797e-07
7	Pharmacologic Class_N0000187064	3.916018704470514e-07
7	Pharmacologic Class_N0000010258	3.8410014007061717e-07
7	Pharmacologic Class_N0000185507	3.814987095698657e-07
7	Pharmacologic Class_N0000185607	3.6401217772834097e-07
7	Pharmacologic Class_N0000008832	3.616124252219467e-07
7	Pharmacologic Class_N0000009909	3.49550166745691e-07
7	Pharmacologic Class_N0000007706	3.285946595623073e-07
7	Pharmacologic Class_N0000175686	3.1674534160437507e-07
7	Pharmacologic Class_N0000007556	3.1477397251267083e-07
7	Pharmacologic Class_N0000020060	3.0982233163370795e-07
7	Pharmacologic Class_N0000000144	3.0637992500205915e-07
