multiplex	node	score
9	Cellular Component_GO:0045202	4.738277036899412e-06
9	Biological Process_GO:0007267	4.5780874203792894e-06
9	Cellular Component_GO:0043005	3.985155784351175e-06
9	Biological Process_GO:0099536	3.885097306185655e-06
9	Biological Process_GO:0007268	3.885097306185655e-06
9	Biological Process_GO:0099537	3.885097306185655e-06
9	Molecular Function_GO:0005509	3.816453701862914e-06
9	Molecular Function_GO:0022857	3.778080656216122e-06
9	Biological Process_GO:0007417	3.5458221757467126e-06
9	Molecular Function_GO:0022891	3.5254813811104904e-06
9	Molecular Function_GO:0015075	3.4137631288097287e-06
9	Cellular Component_GO:0098590	3.308387406438344e-06
9	Biological Process_GO:0034220	3.2525363309036538e-06
9	Biological Process_GO:0007610	3.012755846242765e-06
9	Cellular Component_GO:0098796	3.008048068386168e-06
9	Cellular Component_GO:0042175	2.7961392577484152e-06
9	Cellular Component_GO:0005789	2.7908717595746885e-06
9	Biological Process_GO:0006812	2.7146590398046375e-06
9	Molecular Function_GO:0004930	2.6726969689016728e-06
9	Biological Process_GO:0060322	2.6457086470721266e-06
9	Cellular Component_GO:0036477	2.5926433167412635e-06
9	Biological Process_GO:0007420	2.5867035822770973e-06
9	Biological Process_GO:0044708	2.5456772405627027e-06
9	Biological Process_GO:0009607	2.535542177739458e-06
9	Molecular Function_GO:0022803	2.4810491967245624e-06
9	Molecular Function_GO:0015267	2.4810491967245624e-06
9	Molecular Function_GO:0022838	2.4575662781140215e-06
9	Molecular Function_GO:0005216	2.3948670122585754e-06
9	Biological Process_GO:0010243	2.374677895743954e-06
9	Molecular Function_GO:0008324	2.3720141143081396e-06
9	Biological Process_GO:0006820	2.330072016339244e-06
9	Molecular Function_GO:0022836	2.3189041085148745e-06
9	Biological Process_GO:0055114	2.3008486541056646e-06
9	Biological Process_GO:0030001	2.2951913976749087e-06
9	Biological Process_GO:0048878	2.2941532112020044e-06
9	Biological Process_GO:0014070	2.275663415276516e-06
9	Cellular Component_GO:0030424	2.2689652981006147e-06
9	Biological Process_GO:0098660	2.249415291315054e-06
9	Biological Process_GO:0043269	2.2413228374780016e-06
9	Biological Process_GO:0019725	2.1398609872831657e-06
9	Cellular Component_GO:0009986	2.1037151510046577e-06
9	Biological Process_GO:0098655	2.072706050494877e-06
9	Biological Process_GO:0031175	2.072565998808051e-06
9	Biological Process_GO:0098609	2.0523068827755925e-06
9	Biological Process_GO:0019752	2.033785096091047e-06
9	Cellular Component_GO:0098797	2.0052279447339896e-06
9	Molecular Function_GO:0022890	1.993138160604942e-06
9	Cellular Component_GO:0044297	1.9876265197582728e-06
9	Cellular Component_GO:1990351	1.9816103327698013e-06
9	Cellular Component_GO:1902495	1.9712879389024807e-06
9	Biological Process_GO:0042493	1.930828708589197e-06
9	Molecular Function_GO:0046873	1.9298826422529535e-06
9	Cellular Component_GO:0034702	1.8848550147943191e-06
9	Cellular Component_GO:0043025	1.8827735853370247e-06
9	Biological Process_GO:0055082	1.8667787083005878e-06
9	Biological Process_GO:0050801	1.8553731553859084e-06
9	Biological Process_GO:0098771	1.8347849882382254e-06
9	Cellular Component_GO:0098794	1.814274406698032e-06
9	Cellular Component_GO:0005768	1.8108504714055068e-06
9	Biological Process_GO:0098662	1.799002006016326e-06
9	Biological Process_GO:0033993	1.7698782652337297e-06
9	Biological Process_GO:0044255	1.7260786130339255e-06
9	Biological Process_GO:0055080	1.725171093275887e-06
9	Biological Process_GO:0042391	1.7134337970552791e-06
9	Biological Process_GO:0015711	1.6926065477514762e-06
9	Biological Process_GO:0032880	1.6884326256077702e-06
9	Biological Process_GO:0006873	1.6806741965562015e-06
9	Molecular Function_GO:0016491	1.6728663513147548e-06
9	Biological Process_GO:0051046	1.668839906875797e-06
9	Biological Process_GO:0098742	1.6570315809018355e-06
9	Cellular Component_GO:0005730	1.6545104407032952e-06
9	Biological Process_GO:0034762	1.6311400259654356e-06
9	Cellular Component_GO:0030425	1.62966656181856e-06
9	Molecular Function_GO:0008092	1.6206226379611425e-06
9	Biological Process_GO:0008284	1.616272921747984e-06
9	Biological Process_GO:0034765	1.614735814979602e-06
9	Biological Process_GO:0050905	1.6140855385425896e-06
9	Biological Process_GO:0030003	1.605588723287559e-06
9	Biological Process_GO:0007156	1.603698322813714e-06
9	Molecular Function_GO:0005261	1.595592820133866e-06
9	Biological Process_GO:0015672	1.5888372578386586e-06
9	Biological Process_GO:1903530	1.5690604658793491e-06
9	Biological Process_GO:0044712	1.5575305483023848e-06
9	Biological Process_GO:0042330	1.5434873854536715e-06
9	Biological Process_GO:0006935	1.5434873854536715e-06
9	Biological Process_GO:0007600	1.5421899344464426e-06
9	Biological Process_GO:0055065	1.5411357772432459e-06
9	Biological Process_GO:0050804	1.535970436551251e-06
9	Biological Process_GO:0008283	1.5320570308214836e-06
9	Cellular Component_GO:0031012	1.5219598406787552e-06
9	Biological Process_GO:0050890	1.5219292482875859e-06
9	Cellular Component_GO:0098793	1.5059126628245256e-06
9	Molecular Function_GO:0032403	1.5026442611086684e-06
9	Cellular Component_GO:0048471	1.4956900183924866e-06
9	Biological Process_GO:0043603	1.4898107348723273e-06
9	Cellular Component_GO:0097060	1.484183602314453e-06
9	Molecular Function_GO:0015077	1.4809774478418795e-06
9	Molecular Function_GO:0005244	1.466376454475635e-06
9	Molecular Function_GO:0022832	1.466376454475635e-06
9	Biological Process_GO:0044057	1.460584030364263e-06
9	Biological Process_GO:0006875	1.4505222964951273e-06
9	Molecular Function_GO:0042803	1.4496825658660775e-06
9	Molecular Function_GO:0000988	1.4412251346246732e-06
9	Cellular Component_GO:0005773	1.4401708011357968e-06
9	Molecular Function_GO:0000989	1.4400147414601578e-06
9	Biological Process_GO:0022603	1.424474105800186e-06
9	Molecular Function_GO:0016782	1.4186658923400575e-06
9	Biological Process_GO:0060548	1.4173998902121402e-06
9	Cellular Component_GO:0005578	1.4163678609710176e-06
9	Biological Process_GO:1901701	1.4134523463251753e-06
9	Biological Process_GO:0051050	1.4070799783141203e-06
9	Biological Process_GO:0009636	1.3983982789650294e-06
9	Biological Process_GO:0032990	1.3972156075900452e-06
9	Biological Process_GO:0048646	1.394915206394529e-06
9	Molecular Function_GO:0008410	1.394302486022536e-06
9	Biological Process_GO:0048858	1.3902720410840775e-06
9	Biological Process_GO:0007611	1.3898962496363528e-06
9	Biological Process_GO:0000904	1.3878949287832928e-06
9	Cellular Component_GO:0005764	1.3862072712218519e-06
9	Cellular Component_GO:0000323	1.3862072712218519e-06
9	Biological Process_GO:0061564	1.384002192617749e-06
9	Molecular Function_GO:0019904	1.3828346570583182e-06
9	Biological Process_GO:0003013	1.3809048481799352e-06
9	Biological Process_GO:0008015	1.380022819742191e-06
9	Biological Process_GO:0001934	1.3649129774402126e-06
9	Molecular Function_GO:0030234	1.3619008190446358e-06
9	Biological Process_GO:0034097	1.3617590501516838e-06
9	Biological Process_GO:0048870	1.3588967439182686e-06
9	Biological Process_GO:0051674	1.3588967439182686e-06
9	Biological Process_GO:0050884	1.354688677760876e-06
9	Biological Process_GO:0043069	1.3490754410447321e-06
9	Biological Process_GO:0044703	1.3474094698368261e-06
9	Biological Process_GO:0043066	1.345698011363263e-06
9	Molecular Function_GO:0003712	1.343373200068547e-06
9	Biological Process_GO:0007187	1.337966643097726e-06
9	Biological Process_GO:0006468	1.3233941019950124e-06
9	Biological Process_GO:0072507	1.3188620463793094e-06
9	Molecular Function_GO:0008233	1.313380416766573e-06
9	Biological Process_GO:0009887	1.296431272021049e-06
9	Biological Process_GO:0055074	1.2960250105472911e-06
9	Biological Process_GO:0005975	1.2959990811040293e-06
9	Molecular Function_GO:0022843	1.2952970349809643e-06
9	Molecular Function_GO:0070011	1.2907803141888131e-06
9	Biological Process_GO:0072503	1.2872640232434987e-06
9	Biological Process_GO:0006874	1.2852687741885176e-06
9	Biological Process_GO:0051707	1.282530535242751e-06
9	Biological Process_GO:0043207	1.282530535242751e-06
9	Biological Process_GO:1902533	1.2776712106222783e-06
9	Biological Process_GO:0048812	1.2748433006176389e-06
9	Biological Process_GO:0060284	1.2719643603333263e-06
9	Biological Process_GO:0048667	1.2606762864967205e-06
9	Biological Process_GO:0009991	1.2606268759436377e-06
9	Biological Process_GO:0090066	1.2561568600809975e-06
9	Molecular Function_GO:0016772	1.2551375280646646e-06
9	Cellular Component_GO:0043235	1.2519045691915578e-06
9	Biological Process_GO:0046903	1.2501592774021624e-06
9	Biological Process_GO:0051960	1.2487431419327346e-06
9	Biological Process_GO:0045597	1.2466741696719814e-06
9	Biological Process_GO:0048545	1.2360268456896311e-06
9	Molecular Function_GO:0016829	1.231788629251567e-06
9	Biological Process_GO:0032101	1.2239521510712471e-06
9	Biological Process_GO:0007626	1.2102213972017752e-06
9	Biological Process_GO:0007409	1.206158005306076e-06
9	Biological Process_GO:0016477	1.1950141216211755e-06
9	Biological Process_GO:0010817	1.1945513284103123e-06
9	Biological Process_GO:0016482	1.1942273832251497e-06
9	Cellular Component_GO:0045211	1.1899311926928942e-06
9	Biological Process_GO:1901699	1.1873081134329619e-06
9	Molecular Function_GO:0016788	1.1833854724141671e-06
9	Biological Process_GO:0043086	1.1808167091101208e-06
9	Biological Process_GO:0006396	1.1792360114103857e-06
9	Cellular Component_GO:0070161	1.1783812947781915e-06
9	Biological Process_GO:0072358	1.1740899722973665e-06
9	Biological Process_GO:0072359	1.1740899722973665e-06
9	Biological Process_GO:0031667	1.1736760794873487e-06
9	Cellular Component_GO:0005912	1.1708788267696454e-06
9	Biological Process_GO:0009314	1.1503756771612327e-06
9	Biological Process_GO:0050767	1.1457008499085465e-06
9	Biological Process_GO:0032504	1.1345424363590108e-06
9	Cellular Component_GO:0099503	1.1339510952557186e-06
9	Biological Process_GO:0009611	1.1326928447254118e-06
9	Biological Process_GO:0008285	1.131053760031385e-06
9	Biological Process_GO:0048609	1.1304283471870787e-06
9	Biological Process_GO:0030900	1.1301262839804723e-06
9	Biological Process_GO:0009790	1.1293378235783342e-06
9	Biological Process_GO:0071417	1.1239955359622336e-06
9	Biological Process_GO:0006366	1.1159142514637396e-06
9	Biological Process_GO:0061024	1.1141665232705132e-06
9	Biological Process_GO:0051345	1.1133641674055557e-06
9	Molecular Function_GO:0016301	1.1065395869046313e-06
9	Biological Process_GO:0032870	1.0956148836273158e-06
9	Biological Process_GO:0007264	1.0944621909496545e-06
9	Biological Process_GO:0070201	1.0934899990511144e-06
9	Biological Process_GO:1901615	1.092243096304724e-06
9	Cellular Component_GO:0034703	1.087158830916353e-06
9	Molecular Function_GO:0008509	1.0868709367190477e-06
9	Biological Process_GO:0044723	1.0783744354416733e-06
9	Molecular Function_GO:0016773	1.0700373238137002e-06
9	Biological Process_GO:0010035	1.065130531629728e-06
9	Molecular Function_GO:0022804	1.0582919503474827e-06
